order,species,layer,identifier,source,status,content_hash_algo,content_hash,total_dendritic_area,longest_root_to_tip_path,g1_spectral_entropy,g2_root_participation_entropy,g3_log_spacing_irregularity
1,Rat,L2/3,L2 TPC,Reimann 2024,author_exact,git_blob_sha1,3c9bcd81ff3e21bbe980f7bda50eca5efb9a7109,11056.12239933014,399.5341994339607,0.9379737433330733,0.4231485565715385,1.3958050495615837
2,Rat,L6,L6 IPC,Reimann 2024,unresolved,,,,,,,
3,Rat,L4,L4 TPC,Reimann 2024,unresolved,,,,,,,
4,Rat,L6,L6 TPC,Reimann 2024,unresolved,,,,,,,
5,Rat,L2/3,229_5,Markram 2015,source_compatible,sha256,f0df3254ca4642bab1184389888904288ce75e55d04bbbab8facbb4f218274d1,16610.199682712555,589.8185737459645,0.9535044450798065,0.5642510721105501,2.0403921486915575
6,Rat,L2/3,229_1,Markram 2015,source_compatible,sha256,9df31c3f893cbc2c14b1b1e3aeaef680355f7445028802259e4e1085a3c1d239,12398.279512882233,470.4707384240239,0.9601465175057573,0.6670707737128906,1.7978444851827586
7,Rat,L5,cell1,Hay 2011,author_exact,git_blob_sha1,2ba87cb91601c44a78a764646cf5abd01d5e1266,29872.286071062088,1300.5335016324757,0.9040225680143217,0.5183834489097919,1.2172670686546674
8,Rat,L4,230_1,Markram 2015,unresolved,,,,,,,
9,Rat,L6,L6 UPC,Reimann 2024,unresolved,,,,,,,
10,Rat,L4,230_2,Markram 2015,unresolved,,,,,,,
11,Rat,L5,TTPC_1 232_1,Markram 2015,source_compatible,sha256,8e80e32fdf3fc35c898811d0fea807b20570e6c91e5644a182e8190ed517c24f,48326.32617044449,1314.0656584594701,0.9131336125118743,0.4275376503504867,1.3452588679670965
12,Rat,L5,L5 TPC,Reimann 2024,unresolved,,,,,,,
13,Human,L6,548494556,Allen 2015,source_compatible,sha256,53d3cc7a8e9fe3dce7b4512e93105e43ac0f5ffee52b76f8fbba2030ab0d5c58,17456.887840270996,1129.2740625511453,0.955827117887021,0.5864225910984485,1.5391513416155298
14,Human,L6,528614014,Allen 2015,source_compatible,sha256,0e2517b28545ba8e2edc42b600b9f1c3a8cf9b2c9cdc36160109e1895c2acc09,18343.689989089966,1493.373043707897,0.9100196525907548,0.6742117939959335,1.1518957162625534
15,Human,L5,1833,Mohan 2015,source_compatible,sha256,15b1732affc6e635a5ad1f92e4582d7fa99cbb33d9ce07ebe59f8c175c21761f,45403.01187777519,1156.2496684662212,0.958107417102815,0.4777711077814629,1.4839887876846638
16,Human,L4,539661667,Allen 2015,source_compatible,sha256,ff580d28bd8eb4b233c9c0f76df581f701a9fc9c642105293b70784f728c07be,27174.953964710236,846.6132690909558,0.9615319825969716,0.6182082227155755,1.6018333951160462
17,Human,L5,2057,Mohan 2015,author_exact,git_blob_sha1,39675ab43f032083fd1f3ce92d141385f058f6f7,68588.78586959839,2121.8158581518474,0.9421134145359079,0.5520665205784601,1.4357152311129593
18,Human,L4,569818704,Allen 2015,source_compatible,sha256,9efe11481e7c30cf3c7bdb0c34d9efae4dfcac91b90b47da749fd615e9a9d6db,15280.802234649658,981.3399950358005,0.9532216668167723,0.6179409617201201,1.1171949159538594
19,Human,L5,790872626,Allen 2015,unresolved,,,,,,,
20,Human,L4,1496,Mohan 2015,source_compatible,sha256,972e8d87a93f81df1a0f1a493a89389506fb768e867b75a6391789a508be9d42,22126.358887672424,1441.3670083038528,0.9183178646904884,0.5724308982375875,1.1003274325347916
21,Human,L6,558211203,Allen 2015,source_compatible,sha256,cb65c240e6b3ca7f36fd457e83b64a27b039820b5a403ac4a1d8a76e6c40db53,14244.143933534622,717.4634688483841,0.9577896612444043,0.5480967984872991,1.1934283053530848
22,Human,L2/3,1204,Mohan 2015,source_compatible,sha256,891819f31984eca63a1adb9e2fdd1c6056c90a293284401df9d4bf8e2b2271ea,80440.88791012764,1281.9080886217396,0.938498557064904,0.5436765802789877,1.1316764474706225
23,Human,L2/3,1148,Mohan 2015,source_compatible,sha256,c83355ea9573ad3a6183f890fdcf6314e8de6bb243399656f07fc46711c47eef,51927.84122085571,1183.4183445996896,0.9389915451549481,0.5991347778524982,1.2007659484416393
24,Human,L2/3,1125,Mohan 2015,author_exact,git_blob_sha1,42ce70f86f6ff01bfa35816fb1f66d5c407147af,86647.73160988092,1230.5874790823007,0.9487561254245032,0.5958831898137839,1.300420285230967
